geo,year,unit,leg_stat,citizen,value
Bosnia and Herzegovina,2012,P_HTHAB,PER_CNV,FOR,1.12
Bosnia and Herzegovina,2012,P_HTHAB,PER_PRSC,FOR,1.38
Bosnia and Herzegovina,2012,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2013,NR,PER_CNV,FOR,41.0
Bosnia and Herzegovina,2013,NR,PER_PRSC,FOR,36.0
Bosnia and Herzegovina,2013,NR,PER_SUSP,FOR,
Bosnia and Herzegovina,2013,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2013,P_HTHAB,PER_PRSC,FOR,
Bosnia and Herzegovina,2013,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2014,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2014,NR,PER_PRSC,FOR,20.0
Bosnia and Herzegovina,2014,NR,PER_SUSP,FOR,
Bosnia and Herzegovina,2014,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2014,P_HTHAB,PER_PRSC,FOR,
Bosnia and Herzegovina,2014,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2015,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2015,NR,PER_PRSC,FOR,
Bosnia and Herzegovina,2015,NR,PER_SUSP,FOR,82.0
Bosnia and Herzegovina,2015,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2015,P_HTHAB,PER_PRSC,FOR,
Bosnia and Herzegovina,2015,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2016,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2016,NR,PER_PRSC,FOR,
Bosnia and Herzegovina,2016,NR,PER_SUSP,FOR,65.0
Bosnia and Herzegovina,2016,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2016,P_HTHAB,PER_PRSC,FOR,
Bosnia and Herzegovina,2016,P_HTHAB,PER_SUSP,FOR,
Bosnia and Herzegovina,2017,NR,PER_CNV,FOR,
Bosnia and Herzegovina,2017,NR,PER_PRSC,FOR,
Bosnia and Herzegovina,2017,NR,PER_SUSP,FOR,
Bosnia and Herzegovina,2017,P_HTHAB,PER_CNV,FOR,
Bosnia and Herzegovina,2017,P_HTHAB,PER_PRSC,FOR,
Bosnia and Herzegovina,2017,P_HTHAB,PER_SUSP,FOR,
